name,rating,sector,no_of_employees,ownership_status,age_of_company,headquarters_location,salary,available_jobs
KPMG India,3.6,Management Consulting,10k-50k Employees,,37.0,Bangalore / Bengaluru,64700.0,62.0
Shapoorji Pallonji Group,4.2,Engineering & Construction,5k-10k Employees,Conglomerate,159.0,Mumbai,15200.0,31.0
Oracle,3.8,Software Product,50k-1 Lakh Employees,Public,47.0,Austin,57900.0,187.0
Home Credit Finance,4.1,Financial Services,10k-50k Employees,,12.0,Gurugram,10500.0,90.0
eClerx,3.5,IT Services & Consulting,10k-50k Employees,Public,24.0,Mumbai,27700.0,70.0
Apollo Hospitals,4.2,Healthcare,10k-50k Employees,Public,41.0,Chennai,15100.0,86.0
Ashok Leyland,4.1,Automobile,5k-10k Employees,Public,76.0,Chennai,18200.0,4.0
Omega Healthcare,3.8,Healthcare,10k-50k Employees,,21.0,Florida,21100.0,36.0
Siemens,4.2,Industrial Automation,5k-10k Employees,Public,177.0,Munich,30100.0,1700.0
JLL,4.2,Real Estate,10k-50k Employees,Forbes Global 2000,25.0,Mumbai,20200.0,48.0
Megha Engineering & Infrastructures,4.0,Engineering & Construction,5k-10k Employees,Conglomerate,35.0,Hyderabad/Secunderabad,15000.0,28.0
Vivo,4.1,Consumer Electronics & Appliances,5k-10k Employees,Conglomerate,15.0,Gurgaon/Gurugram,13300.0,8.0
First Source,3.8,BPO,10k-50k Employees,Public,23.0,Mumbai,20500.0,89.0
JustDial,3.6,Internet,10k-50k Employees,Public,28.0,Mumbai,15300.0,22.0
Bajaj Allianz Life Insurance,4.1,Insurance,10k-50k Employees,,23.0,Pune,15600.0,71.0
Hero MotoCorp,4.2,Automobile,5k-10k Employees,Public,40.0,Gurgaon/Gurugram,14100.0,1.0
OPPO,4.0,Consumer Electronics & Appliances,10k-50k Employees,Public,20.0,Dongguan,13100.0,17.0
Mahindra Finance,4.3,NBFC,10k-50k Employees,Public,33.0,Mumbai,10800.0,39.0
DMart,4.0,Retail,10k-50k Employees,Fortune India 500,22.0,Mumbai,14400.0,151.0
Standard Chartered,3.9,Banking,10k-50k Employees,Fortune India 500,171.0,London,40000.0,15.0
Coforge,3.5,IT Services & Consulting,10k-50k Employees,Public,20.0,Noida,37500.0,131.0
Cyient,3.8,IT Services & Consulting,10k-50k Employees,Public,33.0,Hyderabad/Secunderabad,25800.0,82.0
BigBasket,4.0,Internet,10k-50k Employees,Indian Unicorn,13.0,Bangalore,15700.0,--
ICICI Lombard General Insurance Company,3.8,Insurance,10k-50k Employees,Public,23.0,Mumbai,18200.0,9.0
Indiamart Intermesh,3.6,Internet,5k-10k Employees,,28.0,Noida,18900.0,262.0
